question,answer,dataset_split
What is prompt engineering?,Prompt engineering is the practice of designing and optimizing prompts to improve the responses generated by large language models.,"[""base""]"
What is an embedding in large language models?,An embedding is a numerical vector representation of text that captures its semantic meaning and relationships.,"[""base""]"
What is a vector database?,A vector database stores high-dimensional embeddings and enables efficient similarity search for AI applications.,"[""base""]"
What is supervised learning?,Supervised learning is a machine learning approach in which a model learns from labeled training data to make predictions.,"[""base""]"
What is tokenization in natural language processing?,"Tokenization is the process of breaking text into smaller units such as words, subwords, or characters for further processing.","[""base""]"
What is web scraping in Python?,Web scraping is the process of automatically extracting data from websites using Python libraries such as BeautifulSoup and requests.,"[""base""]"
What is Retrieval-Augmented Generation (RAG)?,Retrieval-Augmented Generation is a technique that combines information retrieval with language generation by supplying relevant documents as context to a language model.,"[""base""]"
What is point cloud data in 3D data science?,Point cloud data is a collection of points in three-dimensional space representing the external surface of an object or environment.,"[""base""]"
What is a Python list?,"A Python list is an ordered, mutable collection of items that can store elements of different data types.","[""base""]"
What is the purpose of a function in Python?,A function is a reusable block of code that performs a specific task and can accept inputs and return outputs.,"[""base""]"
